Nom,Mail,Ville,Parti_Politique,Site_Internet
M. Damien Abad,Damien.Abad@assemblee-nationale.fr,Ain,Renaissance,https://www.hatvp.fr/pages_nominatives/abad-damien
Mme Nadège Abomangoli,nadege.abomangoli@assemblee-nationale.fr,Seine-Saint-Denis,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/abomangoli-nadege-180
M. Damien Adam,Damien.Adam@assemblee-nationale.fr,Seine-Maritime,Renaissance,http://damienadam.fr
M. Éric Alauzet,Eric.Alauzet@assemblee-nationale.fr,Doubs,Renaissance,http://www.alauzet.net/
M. Laurent Alexandre,laurent.alexandre@assemblee-nationale.fr,Aveyron,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/alexandre-laurent-24165
M. Franck Allisio,franck.allisio@assemblee-nationale.fr,Bouches-du-Rhône,Rassemblement National,https://www.hatvp.fr/pages_nominatives/allisio-franck-24180
M. David Amiel,david.amiel@assemblee-nationale.fr,Paris,Renaissance,https://www.hatvp.fr/pages_nominatives/amiel-david
Mme Farida Amrani,farida.amrani@assemblee-nationale.fr,Essonne,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/amrani-farida-24328
Mme Emmanuelle Anthoine,Emmanuelle.Anthoine@assemblee-nationale.fr,Drôme,Les Républicains,http://www.emmanuelle-anthoine.fr
M. Rodrigo Arenas,rodrigo.arenas@assemblee-nationale.fr,Paris,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/arenas-rodrigo-24170
Mme Christine Arrighi,christine.arrighi@assemblee-nationale.fr,Haute-Garonne,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/arrighi-christine-24260
Mme Bénédicte Auzanot,benedicte.auzanot@assemblee-nationale.fr,Vaucluse,Rassemblement National,https://www.hatvp.fr/pages_nominatives/auzanot-benedicte-24225
Mme Anne-Laure Babault,anne-laure.babault@assemblee-nationale.fr,Charente-Maritime,Démocrate (MoDem et Indépendants),https://www.hatvp.fr/pages_nominatives/babault-anne-laure-24290
M. Philippe Ballard,philippe.ballard@assemblee-nationale.fr,Oise,Rassemblement National,http://www.philippeballard.fr
M. Christian Baptiste,christian.baptiste@assemblee-nationale.fr,Guadeloupe,Socialistes et apparentés (membre de l’intergroupe NUPES),https://www.hatvp.fr/pages_nominatives/baptiste-christian
M. Christophe Barthès,christophe.barthes@assemblee-nationale.fr,Aude,Rassemblement National,https://www.hatvp.fr/pages_nominatives/barthes-christophe-24288
M. Quentin Bataillon,quentin.bataillon@assemblee-nationale.fr,Loire,Renaissance,http://www.quentinbataillon.fr
Mme Marie-Noëlle Battistel,Marie-Noelle.Battistel@assemblee-nationale.fr,Isère,Socialistes et apparentés (membre de l’intergroupe NUPES),http://www.marienoelle-battistel.fr
M. Romain Baubry,romain.baubry@assemblee-nationale.fr,Bouches-du-Rhône,Rassemblement National,https://www.hatvp.fr/pages_nominatives/baubry-romain-24174
M. Thibault Bazin,Thibault.Bazin@assemblee-nationale.fr,Meurthe-et-Moselle,Les Républicains,http://www.thibaultbazin.fr
M. José Beaurain,jose.beaurain@assemblee-nationale.fr,Aisne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/beaurain-jose-24140
M. Mounir Belhamiti,mounir.belhamiti@assemblee-nationale.fr,Loire-Atlantique,Renaissance,http://mouniravecvous.fr
Mme Lisa Belluco,lisa.belluco@assemblee-nationale.fr,Vienne,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/belluco-lisa-19824
M. Thierry Benoit,Thierry.Benoit@assemblee-nationale.fr,Ille-et-Vilaine,Horizons et apparentés,http://www.thierry-benoit.fr
Mme Fanta Berete,fanta.berete@assemblee-nationale.fr,Paris,Renaissance,https://www.hatvp.fr/pages_nominatives/berete-fanta-24506
M. Ugo Bernalicis,Ugo.Bernalicis@assemblee-nationale.fr,Nord,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://www.ugobernalicis.fr
M. Pierrick Berteloot,pierrick.berteloot@assemblee-nationale.fr,Nord,Rassemblement National,https://www.hatvp.fr/pages_nominatives/berteloot-pierrick-24154
M. Christophe Bex,christophe.bex@assemblee-nationale.fr,Haute-Garonne,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/bex-christophe-24294
M. Carlos Martens Bilongo,carlosmartens.bilongo@assemblee-nationale.fr,Val-d'Oise,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/bilongo-carlos-martens-24272
Mme Sophie Blanc,sophie.blanc@assemblee-nationale.fr,Pyrénées-Orientales,Rassemblement National,https://www.hatvp.fr/pages_nominatives/blanc-sophie-19142
Mme Anne-Laure Blin,anne-laure.blin@assemblee-nationale.fr,Maine-et-Loire,Les Républicains,http://www.annelaureblin.fr
M. Philippe Bolo,Philippe.Bolo@assemblee-nationale.fr,Maine-et-Loire,Démocrate (MoDem et Indépendants),http://www.philippe-bolo.fr
Mme Émilie Bonnivard,Emilie.Bonnivard@assemblee-nationale.fr,Savoie,Les Républicains,http://emiliebonnivard.fr
M. Benoît Bordat,benoit.bordat@assemblee-nationale.fr,Côte-d'Or,Renaissance,http://benoitbordat.com
M. Éric Bothorel,Eric.Bothorel@assemblee-nationale.fr,Côtes-d'Armor,Renaissance,http://ericbothorel.fr
M. Florent Boudié,Florent.Boudie@assemblee-nationale.fr,Gironde,Renaissance,http://www.florentboudie.fr
M. Mickaël Bouloux,mickael.bouloux@assemblee-nationale.fr,Ille-et-Vilaine,Socialistes et apparentés (membre de l’intergroupe NUPES),http://mickaelbouloux.bzh/
M. Jean-Luc Bourgeaux,jean-luc.bourgeaux@assemblee-nationale.fr,Ille-et-Vilaine,Les Républicains,https://www.hatvp.fr/pages_nominatives/bourgeaux-jean-luc-18806
Mme Soumya Bourouaha,soumya.bourouaha@assemblee-nationale.fr,Seine-Saint-Denis,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/bourouaha-soumya-24210
M. Jorys Bovet,jorys.bovet@assemblee-nationale.fr,Allier,Rassemblement National,https://www.hatvp.fr/pages_nominatives/bovet-jorys-24137
Mme Pascale Boyer,Pascale.Boyer@assemblee-nationale.fr,Hautes-Alpes,Renaissance,http://pascaleboyer.fr
Mme Maud Bregeon,maud.bregeon@assemblee-nationale.fr,Hauts-de-Seine,Renaissance,https://www.hatvp.fr/pages_nominatives/bregeon-maud-24159
M. Guy Bricout,Guy.Bricout@assemblee-nationale.fr,Nord,"Libertés, Indépendants, Outre-mer et Territoires",http://guybricout.org
M. Hubert Brigand,hubert.brigand@assemblee-nationale.fr,Côte-d'Or,Les Républicains,https://www.hatvp.fr/pages_nominatives/brigand-hubert-22438
M. Anthony Brosse,anthony.brosse@assemblee-nationale.fr,Loiret,Renaissance,https://www.hatvp.fr/pages_nominatives/brosse-anthony-24192
M. Vincent Bru,Vincent.Bru@assemblee-nationale.fr,Pyrénées-Atlantiques,Démocrate (MoDem et Indépendants),http://www.vincentbru.fr
Mme Danielle Brulebois,Danielle.Brulebois@assemblee-nationale.fr,Jura,Renaissance,https://www.hatvp.fr/pages_nominatives/brulebois-danielle
M. Philippe Brun,philippe.brun@assemblee-nationale.fr,Eure,Socialistes et apparentés (membre de l’intergroupe NUPES),http://philippe-brun.fr
Mme Françoise Buffet,francoise.buffet@assemblee-nationale.fr,Bas-Rhin,Renaissance,https://www.hatvp.fr/pages_nominatives/buffet-francoise
M. Frédéric Cabrolier,frederic.cabrolier@assemblee-nationale.fr,Tarn,Rassemblement National,https://www.hatvp.fr/pages_nominatives/cabrolier-frederic-24236
Mme Céline Calvez,Celine.Calvez@assemblee-nationale.fr,Hauts-de-Seine,Renaissance,http://celine-calvez.fr
Mme Eléonore Caroit,eleonore.caroit@assemblee-nationale.fr,Français établis hors de France,Renaissance,https://www.hatvp.fr/pages_nominatives/caroit-eleonore-24320
M. Sylvain Carrière,sylvain.carriere@assemblee-nationale.fr,Hérault,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/carriere-sylvain-24217
M. Jean-Victor Castor,jean-victor.castor@assemblee-nationale.fr,Guyane,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/castor-jean-victor-24289
M. Lionel Causse,Lionel.Causse@assemblee-nationale.fr,Landes,Renaissance,http://www.lionel-causse.fr
M. Jean-René Cazeneuve,Jean-Rene.Cazeneuve@assemblee-nationale.fr,Gers,Renaissance,http://jrcazeneuve.fr
M. Steve Chailloux,steve.chailloux@assemblee-nationale.fr,Polynésie Française,Gauche démocrate et républicaine - NUPES,https://www.hatvp.fr/pages_nominatives/chailloux-steve-24214
M. André Chassaigne,Andre.Chassaigne@assemblee-nationale.fr,Puy-de-Dôme,Gauche démocrate et républicaine - NUPES,http://www.andrechassaigne.org
Mme Cyrielle Chatelain,cyrielle.chatelain@assemblee-nationale.fr,Isère,Écologiste - NUPES,https://www.hatvp.fr/pages_nominatives/chatelain-cyrielle-24303
M. Yannick Chenevard,yannick.chenevard@assemblee-nationale.fr,Var,Renaissance,https://www.hatvp.fr/pages_nominatives/chenevard-yannick
Mme Sophia Chikirou,sophia.chikirou@assemblee-nationale.fr,Paris,La France insoumise - Nouvelle Union Populaire écologique et sociale,http://sophia-chikirou.fr
M. Roger Chudeau,roger.chudeau@assemblee-nationale.fr,Loir-et-Cher,Rassemblement National,https://www.hatvp.fr/pages_nominatives/chudeau-roger-24171
M. Éric Ciotti,Eric.Ciotti@assemblee-nationale.fr,Alpes-Maritimes,Les Républicains,http://www.eric-ciotti.com
M. Hadrien Clouet,hadrien.clouet@assemblee-nationale.fr,Haute-Garonne,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/clouet-hadrien-24301
M. Paul-André Colombani,Paul-Andre.Colombani@assemblee-nationale.fr,Corse-du-Sud,"Libertés, Indépendants, Outre-mer et Territoires",https://www.hatvp.fr/pages_nominatives/colombani-paul-andre
M. Éric Coquerel,Eric.Coquerel@assemblee-nationale.fr,Seine-Saint-Denis,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/coquerel-eric
M. Pierre Cordier,Pierre.Cordier@assemblee-nationale.fr,Ardennes,Les Républicains,https://www.hatvp.fr/pages_nominatives/cordier-pierre-2482
Mme Josiane Corneloup,Josiane.Corneloup@assemblee-nationale.fr,Saône-et-Loire,Les Républicains,http://josianecorneloup.fr
M. Jean-François Coulomme,jean-francois.coulomme@assemblee-nationale.fr,Savoie,La France insoumise - Nouvelle Union Populaire écologique et sociale,https://www.hatvp.fr/pages_nominatives/coulomme-jean-francois-24341
Mme Annick Cousin,annick.cousin@assemblee-nationale.fr,Lot-et-Garonne,Rassemblement National,https://www.hatvp.fr/pages_nominatives/cousin-annick-24297
Mme Laurence Cristol,laurence.cristol@assemblee-nationale.fr,Hérault,Renaissance,https://www.hatvp.fr/pages_nominatives/cristol-laurence-24135
