Nom,Region,Departement,Email,Date_Election
M. Jean-Claude Anglars,Occitanie, sénateur de l'Aveyron ,jc.anglars@senat.fr,Elu le 27 septembre 2020
Mme Cathy Apourceau-Poly,Hauts-de-France, sénatrice du Pas-de-Calais ,c.apourceau-poly@senat.fr,"Devenue Sénatrice le 1er juillet 2018 (en remplacement de M. Dominique Watrin,"
M. Stéphane Artano,Saint-Pierre-et-Miquelon, sénateur de Saint-Pierre-et-Miquelon ,s.artano@senat.fr,Elu le 24 septembre 2017
Mme Éliane Assassi,Ile-de-France, sénatrice de la Seine-Saint-Denis ,e.assassi@senat.fr,Elue le 26 septembre 2004
M. Jérémy Bacchi,Provence-Alpes-Côte d'Azur, sénateur des Bouches-du-Rhône ,j.bacchi@senat.fr,Elu le 27 septembre 2020
M. Jean-Pierre Bansard,[' sénateur représentant les Français établis hors de France'], sénateur représentant les Français établis hors de France,jp.bansard@senat.fr,Elu le 24 septembre 2017 (Français établis hors de France (Série 1))  jusqu'au
M. Philippe Bas,Normandie, sénateur de la Manche ,p.bas@senat.fr,Elu le 25 septembre 2011
M. Arnaud Bazin,Ile-de-France, sénateur du Val-d'Oise ,a.bazin@senat.fr,Elu le 24 septembre 2017
Mme Nadine Bellurot,Centre-Val de Loire, sénatrice de l'Indre ,n.bellurot@senat.fr,Elue le 27 septembre 2020
M. Guy Benarroche,Provence-Alpes-Côte d'Azur, sénateur des Bouches-du-Rhône ,g.benarroche@senat.fr,Elu le 27 septembre 2020
Mme Martine Berthet,Auvergne-Rhône-Alpes, sénatrice de la Savoie ,m.berthet@senat.fr,Elue le 24 septembre 2017
M. Christian Bilhac,Occitanie, sénateur de l'Hérault ,c.bilhac@senat.fr,Elu le 27 septembre 2020
M. Étienne Blanc,Auvergne-Rhône-Alpes, sénateur du Rhône ,e.blanc@senat.fr,Elu le 27 septembre 2020
Mme Florence Blatrix Contat,Auvergne-Rhône-Alpes, sénatrice de l'Ain ,f.blatrix-contat@senat.fr,Elue le 27 septembre 2020
M. Éric Bocquet,Hauts-de-France, sénateur du Nord ,e.bocquet@senat.fr,Elu le 25 septembre 2011
M. François Bonhomme,Occitanie, sénateur du Tarn-et-Garonne ,f.bonhomme@senat.fr,Elu le 28 septembre 2014
M. Bernard Bonne,Auvergne-Rhône-Alpes, sénateur de la Loire ,b.bonne@senat.fr,Elu le 24 septembre 2017
Mme Nicole Bonnefoy,Nouvelle Aquitaine, sénatrice de la Charente ,n.bonnefoy@senat.fr,Elue le 21 septembre 2008
Mme Alexandra Borchio Fontimp,Provence-Alpes-Côte d'Azur, sénatrice des Alpes-Maritimes ,a.borchio-fontimp@senat.fr,Elue le 27 septembre 2020
M. Denis Bouad,Occitanie, sénateur du Gard ,d.bouad@senat.fr,Elu le 27 septembre 2020
Mme Céline Boulay-Espéronnier,Ile-de-France, sénatrice de Paris ,c.boulay-esperonnier@senat.fr,Elue le 24 septembre 2017
M. Hussein Bourgi,Occitanie, sénateur de l'Hérault ,h.bourgi@senat.fr,Elu le 27 septembre 2020
M. Jean-Marc Boyer,Auvergne-Rhône-Alpes, sénateur du Puy-de-Dôme ,jm.boyer@senat.fr,Elu le 24 septembre 2017
M. Daniel Breuiller,Ile-de-France, sénateur du Val-de-Marne ,['None'],"Devenu Sénateur le 4 juillet 2022 (en remplacement de Mme Taillé-Polian,"
M. Max Brisson,Nouvelle Aquitaine, sénateur des Pyrénées-Atlantiques ,m.brisson@senat.fr,Elu le 24 septembre 2017
M. François-Noël Buffet,Auvergne-Rhône-Alpes, sénateur du Rhône ,fn.buffet@senat.fr,Elu le 26 septembre 2004
M. Laurent Burgoa,Occitanie, sénateur du Gard ,l.burgoa@senat.fr,Elu le 27 septembre 2020
M. Henri Cabanel,Occitanie, sénateur de l'Hérault ,h.cabanel@senat.fr,Elu le 28 septembre 2014
